transaction_id,amount,payment_method,merchant_category,customer_tenure_days,previous_success_rate,transaction_hour,retry_count,customer_monthly_transactions,failure_reason,action,simulated_success_probability,recovered,recovered_amount
TXN_000005,1430.6,upi,saas,5,0.621,16,0,24,card_expired,retry_later,0.4297,1,1430.6
TXN_000005,1430.6,upi,saas,5,0.621,16,0,24,card_expired,alternate_payment,0.6797,1,1430.6
TXN_000005,1430.6,upi,saas,5,0.621,16,0,24,card_expired,customer_followup,0.7297,1,1430.6
TXN_000005,1430.6,upi,saas,5,0.621,16,0,24,card_expired,stop,0.01,0,0.0
TXN_000006,1430.62,card,education,311,0.677,20,1,15,card_expired,retry,0.2912,0,0.0
TXN_000006,1430.62,card,education,311,0.677,20,1,15,card_expired,retry_later,0.3912,1,1430.62
TXN_000006,1430.62,card,education,311,0.677,20,1,15,card_expired,alternate_payment,0.6412,1,1430.62
TXN_000006,1430.62,card,education,311,0.677,20,1,15,card_expired,customer_followup,0.6912,1,1430.62
TXN_000006,1430.62,card,education,311,0.677,20,1,15,card_expired,stop,0.01,0,0.0
TXN_000007,8771.06,card,ecommerce,162,0.858,14,1,20,card_expired,retry,0.3647,0,0.0
TXN_000007,8771.06,card,ecommerce,162,0.858,14,1,20,card_expired,retry_later,0.4647,1,8771.06
TXN_000007,8771.06,card,ecommerce,162,0.858,14,1,20,card_expired,alternate_payment,0.7147,1,8771.06
TXN_000007,8771.06,card,ecommerce,162,0.858,14,1,20,card_expired,customer_followup,0.7647,0,0.0
TXN_000007,8771.06,card,ecommerce,162,0.858,14,1,20,card_expired,stop,0.01,0,0.0
TXN_000008,3894.94,upi,food,216,0.907,0,1,28,network_error,retry,0.8897,1,3894.94
TXN_000008,3894.94,upi,food,216,0.907,0,1,28,network_error,retry_later,0.6897,1,3894.94
TXN_000008,3894.94,upi,food,216,0.907,0,1,28,network_error,alternate_payment,0.5897,1,3894.94
TXN_000008,3894.94,upi,food,216,0.907,0,1,28,network_error,customer_followup,0.4897,0,0.0
TXN_000008,3894.94,upi,food,216,0.907,0,1,28,network_error,stop,0.01,0,0.0
TXN_000009,1130.62,card,education,786,0.861,2,0,6,bank_decline,retry,0.6794,1,1130.62
TXN_000009,1130.62,card,education,786,0.861,2,0,6,bank_decline,retry_later,0.5794,1,1130.62
TXN_000009,1130.62,card,education,786,0.861,2,0,6,bank_decline,alternate_payment,0.8794,1,1130.62
TXN_000009,1130.62,card,education,786,0.861,2,0,6,bank_decline,customer_followup,0.5794,0,0.0
TXN_000009,1130.62,card,education,786,0.861,2,0,6,bank_decline,stop,0.01,0,0.0
TXN_000010,3110.57,upi,education,836,0.642,11,1,19,authentication_failed,retry,0.3035,0,0.0
TXN_000010,3110.57,upi,education,836,0.642,11,1,19,authentication_failed,retry_later,0.4035,1,3110.57
TXN_000010,3110.57,upi,education,836,0.642,11,1,19,authentication_failed,alternate_payment,0.5035,0,0.0
TXN_000010,3110.57,upi,education,836,0.642,11,1,19,authentication_failed,customer_followup,0.7035,1,3110.57
TXN_000010,3110.57,upi,education,836,0.642,11,1,19,authentication_failed,stop,0.01,0,0.0
TXN_000011,1137.49,upi,travel,1195,0.805,21,1,21,insufficient_funds,retry,0.446,0,0.0
TXN_000011,1137.49,upi,travel,1195,0.805,21,1,21,insufficient_funds,retry_later,0.796,1,1137.49
TXN_000011,1137.49,upi,travel,1195,0.805,21,1,21,insufficient_funds,alternate_payment,0.596,0,0.0
TXN_000011,1137.49,upi,travel,1195,0.805,21,1,21,insufficient_funds,customer_followup,0.646,0,0.0
TXN_000011,1137.49,upi,travel,1195,0.805,21,1,21,insufficient_funds,stop,0.01,0,0.0
TXN_000012,1134.87,card,food,252,0.854,9,3,29,insufficient_funds,retry,0.2577,0,0.0
TXN_000012,1134.87,card,food,252,0.854,9,3,29,insufficient_funds,retry_later,0.6077,1,1134.87
TXN_000012,1134.87,card,food,252,0.854,9,3,29,insufficient_funds,alternate_payment,0.4077,1,1134.87
TXN_000012,1134.87,card,food,252,0.854,9,3,29,insufficient_funds,customer_followup,0.4577,1,1134.87
TXN_000012,1134.87,card,food,252,0.854,9,3,29,insufficient_funds,stop,0.01,0,0.0
TXN_000013,2302.99,upi,food,1062,0.738,8,0,22,card_expired,retry,0.4387,1,2302.99
TXN_000013,2302.99,upi,food,1062,0.738,8,0,22,card_expired,retry_later,0.5387,1,2302.99
TXN_000013,2302.99,upi,food,1062,0.738,8,0,22,card_expired,alternate_payment,0.7887,0,0.0
TXN_000013,2302.99,upi,food,1062,0.738,8,0,22,card_expired,customer_followup,0.8387,1,2302.99
TXN_000013,2302.99,upi,food,1062,0.738,8,0,22,card_expired,stop,0.01,0,0.0
TXN_000014,266.86,upi,education,228,0.577,3,3,27,limit_exceeded,retry,0.0818,0,0.0
TXN_000014,266.86,upi,education,228,0.577,3,3,27,limit_exceeded,retry_later,0.1818,1,266.86
TXN_000014,266.86,upi,education,228,0.577,3,3,27,limit_exceeded,alternate_payment,0.4818,0,0.0
TXN_000014,266.86,upi,education,228,0.577,3,3,27,limit_exceeded,customer_followup,0.1818,1,266.86
TXN_000014,266.86,upi,education,228,0.577,3,3,27,limit_exceeded,stop,0.01,0,0.0
TXN_000015,322.17,card,ecommerce,909,0.924,1,1,3,card_expired,retry,0.4343,0,0.0
TXN_000015,322.17,card,ecommerce,909,0.924,1,1,3,card_expired,retry_later,0.5343,1,322.17
TXN_000015,322.17,card,ecommerce,909,0.924,1,1,3,card_expired,alternate_payment,0.7843,1,322.17
TXN_000015,322.17,card,ecommerce,909,0.924,1,1,3,card_expired,customer_followup,0.8343,1,322.17
TXN_000015,322.17,card,ecommerce,909,0.924,1,1,3,card_expired,stop,0.01,0,0.0
TXN_000016,1030.41,card,travel,1302,0.75,20,0,25,limit_exceeded,retry,0.4569,0,0.0
TXN_000016,1030.41,card,travel,1302,0.75,20,0,25,limit_exceeded,retry_later,0.5569,0,0.0
TXN_000016,1030.41,card,travel,1302,0.75,20,0,25,limit_exceeded,alternate_payment,0.8569,1,1030.41
TXN_000016,1030.41,card,travel,1302,0.75,20,0,25,limit_exceeded,customer_followup,0.5569,1,1030.41
TXN_000016,1030.41,card,travel,1302,0.75,20,0,25,limit_exceeded,stop,0.01,0,0.0
TXN_000017,656.66,upi,ecommerce,285,0.814,0,2,1,insufficient_funds,retry,0.3215,0,0.0
TXN_000017,656.66,upi,ecommerce,285,0.814,0,2,1,insufficient_funds,retry_later,0.6715,1,656.66
TXN_000017,656.66,upi,ecommerce,285,0.814,0,2,1,insufficient_funds,alternate_payment,0.4715,1,656.66
TXN_000017,656.66,upi,ecommerce,285,0.814,0,2,1,insufficient_funds,customer_followup,0.5215,1,656.66
TXN_000017,656.66,upi,ecommerce,285,0.814,0,2,1,insufficient_funds,stop,0.01,0,0.0
TXN_000018,2475.62,wallet,education,649,0.726,9,3,14,authentication_failed,retry,0.1713,0,0.0
TXN_000018,2475.62,wallet,education,649,0.726,9,3,14,authentication_failed,retry_later,0.2713,0,0.0
TXN_000018,2475.62,wallet,education,649,0.726,9,3,14,authentication_failed,alternate_payment,0.3713,0,0.0
TXN_000018,2475.62,wallet,education,649,0.726,9,3,14,authentication_failed,customer_followup,0.5713,0,0.0
TXN_000018,2475.62,wallet,education,649,0.726,9,3,14,authentication_failed,stop,0.01,0,0.0
TXN_000019,729.22,upi,food,366,0.655,12,3,19,insufficient_funds,retry,0.1743,1,729.22
TXN_000019,729.22,upi,food,366,0.655,12,3,19,insufficient_funds,retry_later,0.5243,0,0.0
TXN_000019,729.22,upi,food,366,0.655,12,3,19,insufficient_funds,alternate_payment,0.3243,0,0.0
TXN_000019,729.22,upi,food,366,0.655,12,3,19,insufficient_funds,customer_followup,0.3743,0,0.0
TXN_000019,729.22,upi,food,366,0.655,12,3,19,insufficient_funds,stop,0.01,0,0.0
TXN_000020,440.41,card,food,1092,0.645,6,2,8,card_expired,retry,0.2385,0,0.0
TXN_000020,440.41,card,food,1092,0.645,6,2,8,card_expired,retry_later,0.3385,0,0.0
TXN_000020,440.41,card,food,1092,0.645,6,2,8,card_expired,alternate_payment,0.5885,1,440.41
TXN_000020,440.41,card,food,1092,0.645,6,2,8,card_expired,customer_followup,0.6385,1,440.41
TXN_000020,440.41,card,food,1092,0.645,6,2,8,card_expired,stop,0.01,0,0.0
TXN_000021,7829.46,upi,ecommerce,1128,0.53,17,0,4,card_expired,retry,0.3487,1,7829.46
TXN_000021,7829.46,upi,ecommerce,1128,0.53,17,0,4,card_expired,retry_later,0.4487,0,0.0
TXN_000021,7829.46,upi,ecommerce,1128,0.53,17,0,4,card_expired,alternate_payment,0.6987,1,7829.46
TXN_000021,7829.46,upi,ecommerce,1128,0.53,17,0,4,card_expired,customer_followup,0.7487,1,7829.46
TXN_000021,7829.46,upi,ecommerce,1128,0.53,17,0,4,card_expired,stop,0.01,0,0.0
TXN_000022,1442.63,upi,saas,1425,0.944,14,1,5,network_error,retry,0.95,1,1442.63
TXN_000022,1442.63,upi,saas,1425,0.944,14,1,5,network_error,retry_later,0.7708,1,1442.63
TXN_000022,1442.63,upi,saas,1425,0.944,14,1,5,network_error,alternate_payment,0.6708,0,0.0
TXN_000022,1442.63,upi,saas,1425,0.944,14,1,5,network_error,customer_followup,0.5708,1,1442.63
TXN_000022,1442.63,upi,saas,1425,0.944,14,1,5,network_error,stop,0.01,0,0.0
TXN_000023,1934.35,upi,education,1270,0.618,7,2,20,card_expired,retry,0.2358,0,0.0
TXN_000023,1934.35,upi,education,1270,0.618,7,2,20,card_expired,retry_later,0.3358,1,1934.35
TXN_000023,1934.35,upi,education,1270,0.618,7,2,20,card_expired,alternate_payment,0.5858,0,0.0
TXN_000023,1934.35,upi,education,1270,0.618,7,2,20,card_expired,customer_followup,0.6358,0,0.0
TXN_000023,1934.35,upi,education,1270,0.618,7,2,20,card_expired,stop,0.01,0,0.0
TXN_000024,434.96,upi,food,192,0.811,17,2,2,network_error,retry,0.7652,0,0.0
TXN_000024,434.96,upi,food,192,0.811,17,2,2,network_error,retry_later,0.5652,0,0.0
TXN_000024,434.96,upi,food,192,0.811,17,2,2,network_error,alternate_payment,0.4652,1,434.96
TXN_000024,434.96,upi,food,192,0.811,17,2,2,network_error,customer_followup,0.3652,0,0.0
TXN_000024,434.96,upi,food,192,0.811,17,2,2,network_error,stop,0.01,0,0.0
TXN_000025,1049.03,upi,saas,644,0.835,17,0,16,authentication_failed,retry,0.4601,0,0.0
TXN_000025,1049.03,upi,saas,644,0.835,17,0,16,authentication_failed,retry_later,0.5601,0,0.0
TXN_000025,1049.03,upi,saas,644,0.835,17,0,16,authentication_failed,alternate_payment,0.6601,1,1049.03
TXN_000025,1049.03,upi,saas,644,0.835,17,0,16,authentication_failed,customer_followup,0.8601,1,1049.03
TXN_000025,1049.03,upi,saas,644,0.835,17,0,16,authentication_failed,stop,0.01,0,0.0
TXN_000026,2020.14,netbanking,food,1320,0.905,12,0,7,card_expired,retry,0.5277,1,2020.14
TXN_000026,2020.14,netbanking,food,1320,0.905,12,0,7,card_expired,retry_later,0.6276,0,0.0
TXN_000026,2020.14,netbanking,food,1320,0.905,12,0,7,card_expired,alternate_payment,0.8776,1,2020.14
TXN_000026,2020.14,netbanking,food,1320,0.905,12,0,7,card_expired,customer_followup,0.9276,1,2020.14
TXN_000026,2020.14,netbanking,food,1320,0.905,12,0,7,card_expired,stop,0.01,0,0.0
TXN_000027,571.92,upi,food,1168,0.876,15,2,2,card_expired,retry,0.3465,0,0.0
TXN_000027,571.92,upi,food,1168,0.876,15,2,2,card_expired,retry_later,0.4465,1,571.92
TXN_000027,571.92,upi,food,1168,0.876,15,2,2,card_expired,alternate_payment,0.6965,1,571.92
TXN_000027,571.92,upi,food,1168,0.876,15,2,2,card_expired,customer_followup,0.7465,1,571.92
TXN_000027,571.92,upi,food,1168,0.876,15,2,2,card_expired,stop,0.01,0,0.0
TXN_000028,2632.52,upi,saas,907,0.79,9,2,23,insufficient_funds,retry,0.3439,1,2632.52
TXN_000028,2632.52,upi,saas,907,0.79,9,2,23,insufficient_funds,retry_later,0.6939,1,2632.52
TXN_000028,2632.52,upi,saas,907,0.79,9,2,23,insufficient_funds,alternate_payment,0.4939,0,0.0
TXN_000028,2632.52,upi,saas,907,0.79,9,2,23,insufficient_funds,customer_followup,0.5439,1,2632.52
TXN_000028,2632.52,upi,saas,907,0.79,9,2,23,insufficient_funds,stop,0.01,0,0.0
TXN_000029,991.64,card,ecommerce,731,0.851,11,3,26,card_expired,retry,0.2319,0,0.0
TXN_000029,991.64,card,ecommerce,731,0.851,11,3,26,card_expired,retry_later,0.3319,1,991.64
TXN_000029,991.64,card,ecommerce,731,0.851,11,3,26,card_expired,alternate_payment,0.5819,1,991.64
TXN_000029,991.64,card,ecommerce,731,0.851,11,3,26,card_expired,customer_followup,0.6319,1,991.64
TXN_000029,991.64,card,ecommerce,731,0.851,11,3,26,card_expired,stop,0.01,0,0.0
TXN_000030,1350.6,netbanking,education,26,0.631,7,1,28,authentication_failed,retry,0.2553,1,1350.6
TXN_000030,1350.6,netbanking,education,26,0.631,7,1,28,authentication_failed,retry_later,0.3553,0,0.0
TXN_000030,1350.6,netbanking,education,26,0.631,7,1,28,authentication_failed,alternate_payment,0.4553,0,0.0
TXN_000030,1350.6,netbanking,education,26,0.631,7,1,28,authentication_failed,customer_followup,0.6553,1,1350.6
TXN_000030,1350.6,netbanking,education,26,0.631,7,1,28,authentication_failed,stop,0.01,0,0.0
TXN_000031,990.58,wallet,saas,1275,0.577,22,1,7,limit_exceeded,retry,0.2976,0,0.0
TXN_000031,990.58,wallet,saas,1275,0.577,22,1,7,limit_exceeded,retry_later,0.3976,1,990.58
TXN_000031,990.58,wallet,saas,1275,0.577,22,1,7,limit_exceeded,alternate_payment,0.6976,1,990.58
TXN_000031,990.58,wallet,saas,1275,0.577,22,1,7,limit_exceeded,customer_followup,0.3976,0,0.0
TXN_000031,990.58,wallet,saas,1275,0.577,22,1,7,limit_exceeded,stop,0.01,0,0.0
TXN_000032,11525.05,card,saas,712,0.981,0,3,14,bank_decline,retry,0.4394,1,11525.05
TXN_000032,11525.05,card,saas,712,0.981,0,3,14,bank_decline,retry_later,0.3394,0,0.0
TXN_000032,11525.05,card,saas,712,0.981,0,3,14,bank_decline,alternate_payment,0.6394,0,0.0
TXN_000032,11525.05,card,saas,712,0.981,0,3,14,bank_decline,customer_followup,0.3394,1,11525.05
TXN_000032,11525.05,card,saas,712,0.981,0,3,14,bank_decline,stop,0.01,0,0.0
TXN_000033,1783.8,upi,food,615,0.923,8,0,22,insufficient_funds,retry,0.5482,1,1783.8
TXN_000033,1783.8,upi,food,615,0.923,8,0,22,insufficient_funds,retry_later,0.8982,1,1783.8
TXN_000033,1783.8,upi,food,615,0.923,8,0,22,insufficient_funds,alternate_payment,0.6982,1,1783.8
TXN_000033,1783.8,upi,food,615,0.923,8,0,22,insufficient_funds,customer_followup,0.7482,1,1783.8
TXN_000033,1783.8,upi,food,615,0.923,8,0,22,insufficient_funds,stop,0.01,0,0.0
TXN_000034,627.84,card,saas,193,0.399,19,2,9,authentication_failed,retry,0.0798,0,0.0
TXN_000034,627.84,card,saas,193,0.399,19,2,9,authentication_failed,retry_later,0.1798,0,0.0
TXN_000034,627.84,card,saas,193,0.399,19,2,9,authentication_failed,alternate_payment,0.2798,1,627.84
TXN_000034,627.84,card,saas,193,0.399,19,2,9,authentication_failed,customer_followup,0.4798,1,627.84
TXN_000034,627.84,card,saas,193,0.399,19,2,9,authentication_failed,stop,0.01,0,0.0
TXN_000035,4115.62,upi,education,381,0.816,5,3,18,network_error,retry,0.6975,1,4115.62
TXN_000035,4115.62,upi,education,381,0.816,5,3,18,network_error,retry_later,0.4975,1,4115.62
TXN_000035,4115.62,upi,education,381,0.816,5,3,18,network_error,alternate_payment,0.3975,0,0.0
TXN_000035,4115.62,upi,education,381,0.816,5,3,18,network_error,customer_followup,0.2975,1,4115.62
TXN_000035,4115.62,upi,education,381,0.816,5,3,18,network_error,stop,0.01,0,0.0
TXN_000036,533.34,upi,ecommerce,1026,0.881,17,3,27,insufficient_funds,retry,0.3112,1,533.34
TXN_000036,533.34,upi,ecommerce,1026,0.881,17,3,27,insufficient_funds,retry_later,0.6612,0,0.0
TXN_000036,533.34,upi,ecommerce,1026,0.881,17,3,27,insufficient_funds,alternate_payment,0.4612,1,533.34
TXN_000036,533.34,upi,ecommerce,1026,0.881,17,3,27,insufficient_funds,customer_followup,0.5112,0,0.0
TXN_000036,533.34,upi,ecommerce,1026,0.881,17,3,27,insufficient_funds,stop,0.01,0,0.0
TXN_000037,2228.01,card,ecommerce,1069,0.795,4,1,24,card_expired,retry,0.3848,1,2228.01
TXN_000037,2228.01,card,ecommerce,1069,0.795,4,1,24,card_expired,retry_later,0.4848,1,2228.01
TXN_000037,2228.01,card,ecommerce,1069,0.795,4,1,24,card_expired,alternate_payment,0.7348,0,0.0
TXN_000037,2228.01,card,ecommerce,1069,0.795,4,1,24,card_expired,customer_followup,0.7848,0,0.0
TXN_000037,2228.01,card,ecommerce,1069,0.795,4,1,24,card_expired,stop,0.01,0,0.0
TXN_000038,254.76,netbanking,ecommerce,939,0.902,16,1,8,insufficient_funds,retry,0.476,0,0.0
TXN_000038,254.76,netbanking,ecommerce,939,0.902,16,1,8,insufficient_funds,retry_later,0.826,1,254.76
TXN_000038,254.76,netbanking,ecommerce,939,0.902,16,1,8,insufficient_funds,alternate_payment,0.626,1,254.76
TXN_000038,254.76,netbanking,ecommerce,939,0.902,16,1,8,insufficient_funds,customer_followup,0.676,1,254.76
TXN_000038,254.76,netbanking,ecommerce,939,0.902,16,1,8,insufficient_funds,stop,0.01,0,0.0
TXN_000039,479.05,card,education,3,0.785,11,0,21,network_error,retry,0.9034,1,479.05
TXN_000039,479.05,card,education,3,0.785,11,0,21,network_error,retry_later,0.7034,0,0.0
TXN_000039,479.05,card,education,3,0.785,11,0,21,network_error,alternate_payment,0.6034,0,0.0
TXN_000039,479.05,card,education,3,0.785,11,0,21,network_error,customer_followup,0.5034,0,0.0
TXN_000039,479.05,card,education,3,0.785,11,0,21,network_error,stop,0.01,0,0.0
TXN_000040,2201.43,upi,food,930,0.648,4,2,6,limit_exceeded,retry,0.2312,0,0.0
TXN_000040,2201.43,upi,food,930,0.648,4,2,6,limit_exceeded,retry_later,0.3312,0,0.0
TXN_000040,2201.43,upi,food,930,0.648,4,2,6,limit_exceeded,alternate_payment,0.6312,0,0.0
TXN_000040,2201.43,upi,food,930,0.648,4,2,6,limit_exceeded,customer_followup,0.3312,0,0.0
TXN_000040,2201.43,upi,food,930,0.648,4,2,6,limit_exceeded,stop,0.01,0,0.0
TXN_000041,3783.73,upi,education,1473,0.711,11,2,9,bank_decline,retry,0.4885,0,0.0
TXN_000041,3783.73,upi,education,1473,0.711,11,2,9,bank_decline,retry_later,0.3885,1,3783.73
TXN_000041,3783.73,upi,education,1473,0.711,11,2,9,bank_decline,alternate_payment,0.6885,1,3783.73
TXN_000041,3783.73,upi,education,1473,0.711,11,2,9,bank_decline,customer_followup,0.3885,0,0.0
TXN_000041,3783.73,upi,education,1473,0.711,11,2,9,bank_decline,stop,0.01,0,0.0
TXN_000042,2146.02,card,saas,1159,0.922,23,0,18,limit_exceeded,retry,0.5267,1,2146.02
TXN_000042,2146.02,card,saas,1159,0.922,23,0,18,limit_exceeded,retry_later,0.6267,1,2146.02
TXN_000042,2146.02,card,saas,1159,0.922,23,0,18,limit_exceeded,alternate_payment,0.9267,1,2146.02
TXN_000042,2146.02,card,saas,1159,0.922,23,0,18,limit_exceeded,customer_followup,0.6267,1,2146.02
TXN_000042,2146.02,card,saas,1159,0.922,23,0,18,limit_exceeded,stop,0.01,0,0.0
TXN_000043,1610.58,card,travel,1315,0.641,4,3,23,card_expired,retry,0.1686,0,0.0
TXN_000043,1610.58,card,travel,1315,0.641,4,3,23,card_expired,retry_later,0.2686,0,0.0
TXN_000043,1610.58,card,travel,1315,0.641,4,3,23,card_expired,alternate_payment,0.5186,0,0.0
TXN_000043,1610.58,card,travel,1315,0.641,4,3,23,card_expired,customer_followup,0.5686,1,1610.58
TXN_000043,1610.58,card,travel,1315,0.641,4,3,23,card_expired,stop,0.01,0,0.0
TXN_000044,1337.95,card,travel,278,0.794,6,1,21,authentication_failed,retry,0.3421,1,1337.95
TXN_000044,1337.95,card,travel,278,0.794,6,1,21,authentication_failed,retry_later,0.4421,1,1337.95
TXN_000044,1337.95,card,travel,278,0.794,6,1,21,authentication_failed,alternate_payment,0.5421,0,0.0
TXN_000044,1337.95,card,travel,278,0.794,6,1,21,authentication_failed,customer_followup,0.7421,1,1337.95
TXN_000044,1337.95,card,travel,278,0.794,6,1,21,authentication_failed,stop,0.01,0,0.0
TXN_000045,412.19,upi,travel,176,0.645,11,0,29,bank_decline,retry,0.5496,0,0.0
TXN_000045,412.19,upi,travel,176,0.645,11,0,29,bank_decline,retry_later,0.4496,0,0.0
TXN_000045,412.19,upi,travel,176,0.645,11,0,29,bank_decline,alternate_payment,0.7496,1,412.19
TXN_000045,412.19,upi,travel,176,0.645,11,0,29,bank_decline,customer_followup,0.4496,1,412.19
TXN_000045,412.19,upi,travel,176,0.645,11,0,29,bank_decline,stop,0.01,0,0.0
TXN_000046,880.21,upi,ecommerce,282,0.804,23,0,8,limit_exceeded,retry,0.4268,1,880.21
TXN_000046,880.21,upi,ecommerce,282,0.804,23,0,8,limit_exceeded,retry_later,0.5268,0,0.0
TXN_000046,880.21,upi,ecommerce,282,0.804,23,0,8,limit_exceeded,alternate_payment,0.8268,1,880.21
TXN_000046,880.21,upi,ecommerce,282,0.804,23,0,8,limit_exceeded,customer_followup,0.5268,0,0.0
TXN_000046,880.21,upi,ecommerce,282,0.804,23,0,8,limit_exceeded,stop,0.01,0,0.0
TXN_000047,1140.66,card,education,1144,0.806,0,3,9,network_error,retry,0.7337,0,0.0
TXN_000047,1140.66,card,education,1144,0.806,0,3,9,network_error,retry_later,0.5337,1,1140.66
TXN_000047,1140.66,card,education,1144,0.806,0,3,9,network_error,alternate_payment,0.4337,0,0.0
TXN_000047,1140.66,card,education,1144,0.806,0,3,9,network_error,customer_followup,0.3337,0,0.0
TXN_000047,1140.66,card,education,1144,0.806,0,3,9,network_error,stop,0.01,0,0.0
TXN_000048,5203.68,card,education,1198,0.79,23,2,4,bank_decline,retry,0.5094,0,0.0
TXN_000048,5203.68,card,education,1198,0.79,23,2,4,bank_decline,retry_later,0.4094,1,5203.68
TXN_000048,5203.68,card,education,1198,0.79,23,2,4,bank_decline,alternate_payment,0.7094,1,5203.68
TXN_000048,5203.68,card,education,1198,0.79,23,2,4,bank_decline,customer_followup,0.4094,0,0.0
TXN_000048,5203.68,card,education,1198,0.79,23,2,4,bank_decline,stop,0.01,0,0.0
TXN_000049,2549.41,card,ecommerce,1463,0.878,10,3,13,authentication_failed,retry,0.2831,0,0.0
TXN_000049,2549.41,card,ecommerce,1463,0.878,10,3,13,authentication_failed,retry_later,0.3831,0,0.0
TXN_000049,2549.41,card,ecommerce,1463,0.878,10,3,13,authentication_failed,alternate_payment,0.4831,0,0.0
TXN_000049,2549.41,card,ecommerce,1463,0.878,10,3,13,authentication_failed,customer_followup,0.6831,1,2549.41
TXN_000049,2549.41,card,ecommerce,1463,0.878,10,3,13,authentication_failed,stop,0.01,0,0.0
TXN_000050,310.12,upi,saas,459,0.708,0,2,14,authentication_failed,retry,0.2331,0,0.0
TXN_000050,310.12,upi,saas,459,0.708,0,2,14,authentication_failed,retry_later,0.3331,0,0.0
TXN_000050,310.12,upi,saas,459,0.708,0,2,14,authentication_failed,alternate_payment,0.4331,0,0.0
TXN_000050,310.12,upi,saas,459,0.708,0,2,14,authentication_failed,customer_followup,0.6331,0,0.0
TXN_000050,310.12,upi,saas,459,0.708,0,2,14,authentication_failed,stop,0.01,0,0.0
TXN_000051,2500.09,upi,travel,951,0.663,23,0,23,insufficient_funds,retry,0.4491,1,2500.09
TXN_000051,2500.09,upi,travel,951,0.663,23,0,23,insufficient_funds,retry_later,0.7991,1,2500.09
TXN_000051,2500.09,upi,travel,951,0.663,23,0,23,insufficient_funds,alternate_payment,0.5991,0,0.0
TXN_000051,2500.09,upi,travel,951,0.663,23,0,23,insufficient_funds,customer_followup,0.6491,1,2500.09
TXN_000051,2500.09,upi,travel,951,0.663,23,0,23,insufficient_funds,stop,0.01,0,0.0
TXN_000052,1230.18,card,travel,341,0.957,14,1,1,bank_decline,retry,0.6188,1,1230.18
TXN_000052,1230.18,card,travel,341,0.957,14,1,1,bank_decline,retry_later,0.5188,0,0.0
TXN_000052,1230.18,card,travel,341,0.957,14,1,1,bank_decline,alternate_payment,0.8188,1,1230.18
TXN_000052,1230.18,card,travel,341,0.957,14,1,1,bank_decline,customer_followup,0.5188,0,0.0
TXN_000052,1230.18,card,travel,341,0.957,14,1,1,bank_decline,stop,0.01,0,0.0
TXN_000053,918.81,upi,ecommerce,697,0.668,1,1,26,insufficient_funds,retry,0.3578,0,0.0
TXN_000053,918.81,upi,ecommerce,697,0.668,1,1,26,insufficient_funds,retry_later,0.7078,0,0.0
TXN_000053,918.81,upi,ecommerce,697,0.668,1,1,26,insufficient_funds,alternate_payment,0.5078,1,918.81
TXN_000053,918.81,upi,ecommerce,697,0.668,1,1,26,insufficient_funds,customer_followup,0.5578,1,918.81
TXN_000053,918.81,upi,ecommerce,697,0.668,1,1,26,insufficient_funds,stop,0.01,0,0.0
