transaction_id,amount,failure_reason,action,success_probability,expected_revenue,success,recovered_amount
TXN_000033,1783.8,insufficient_funds,retry_later,0.8982,1602.2091599999999,1,1783.8
TXN_000034,627.84,authentication_failed,customer_followup,0.4798,301.237632,0,0.0
TXN_000035,4115.62,network_error,retry_later,0.4975,2047.5209499999999,0,0.0
TXN_000036,533.34,insufficient_funds,retry_later,0.6612,352.644408,0,0.0
TXN_000037,2228.01,card_expired,customer_followup,0.7848,1748.5422480000002,1,2228.01
TXN_000038,254.76,insufficient_funds,retry_later,0.826,210.43175999999997,1,254.76
TXN_000039,479.05,network_error,retry,0.9034,432.77377,1,479.05
TXN_000040,2201.43,limit_exceeded,alternate_payment,0.6312,1389.542616,1,2201.43
TXN_000041,3783.73,bank_decline,alternate_payment,0.6885,2605.098105,1,3783.73
TXN_000042,2146.02,limit_exceeded,alternate_payment,0.9267,1988.7167339999999,1,2146.02
TXN_000043,1610.58,card_expired,customer_followup,0.5686,915.7757879999999,1,1610.58
TXN_000044,1337.95,authentication_failed,customer_followup,0.7421,992.892695,0,0.0
TXN_000045,412.19,bank_decline,alternate_payment,0.7496,308.977624,1,412.19
TXN_000046,880.21,limit_exceeded,alternate_payment,0.8268,727.7576280000001,1,880.21
TXN_000047,1140.66,network_error,retry_later,0.5337,608.7702419999999,1,1140.66
TXN_000048,5203.68,bank_decline,alternate_payment,0.7094,3691.4905920000006,1,5203.68
TXN_000049,2549.41,authentication_failed,customer_followup,0.6831,1741.501971,1,2549.41
TXN_000050,310.12,authentication_failed,customer_followup,0.6331,196.336972,1,310.12
TXN_000051,2500.09,insufficient_funds,retry_later,0.7991,1997.8219190000002,0,0.0
TXN_000052,1230.18,bank_decline,alternate_payment,0.8188,1007.271384,1,1230.18
TXN_000053,918.81,insufficient_funds,retry_later,0.7078,650.333718,0,0.0
TXN_000054,3333.16,card_expired,customer_followup,0.8029,2676.1941639999995,0,0.0
TXN_000055,5069.51,network_error,retry,0.8692,4406.418092,1,5069.51
TXN_000056,4588.37,card_expired,customer_followup,0.8717,3999.6821290000003,0,0.0
TXN_000057,781.16,authentication_failed,customer_followup,0.6256,488.693696,1,781.16
TXN_000058,1327.15,authentication_failed,customer_followup,0.814,1080.3001,1,1327.15
TXN_000059,2518.11,authentication_failed,customer_followup,0.7616,1917.7925760000003,1,2518.11
TXN_000060,4796.04,authentication_failed,customer_followup,0.6955,3335.64582,1,4796.04
TXN_000061,1119.71,bank_decline,alternate_payment,0.838,938.31698,1,1119.71
TXN_000062,1501.68,bank_decline,alternate_payment,0.6534,981.197712,1,1501.68
TXN_000063,598.04,authentication_failed,customer_followup,0.7378,441.233912,0,0.0
TXN_000064,546.64,limit_exceeded,alternate_payment,0.7188,392.924832,1,546.64
TXN_000065,4074.59,card_expired,customer_followup,0.6994,2849.768246,1,4074.59
TXN_000066,7018.05,network_error,retry,0.95,6667.1475,1,7018.05
TXN_000067,1682.42,network_error,retry,0.9042,1521.2441640000002,1,1682.42
TXN_000068,4932.16,limit_exceeded,alternate_payment,0.6834,3370.638144,0,0.0
TXN_000069,2595.76,card_expired,customer_followup,0.788,2045.4588800000004,1,2595.76
TXN_000070,948.5,card_expired,customer_followup,0.7693,729.68105,0,0.0
TXN_000071,2595.14,card_expired,customer_followup,0.8152,2115.558128,1,2595.14
TXN_000072,8417.23,limit_exceeded,alternate_payment,0.8792,7400.428615999999,1,8417.23
TXN_000073,1744.41,network_error,retry,0.95,1657.1895,1,1744.41
TXN_000074,8644.2,network_error,retry_later,0.5251,4539.069420000001,0,0.0
TXN_000075,131.66,authentication_failed,customer_followup,0.6954,91.556364,0,0.0
TXN_000076,4112.98,authentication_failed,customer_followup,0.8066,3317.5296679999997,1,4112.98
TXN_000077,1972.48,card_expired,customer_followup,0.6395,1261.40096,0,0.0
TXN_000078,1340.76,bank_decline,alternate_payment,0.6671,894.4209960000001,1,1340.76
TXN_000079,1981.8,limit_exceeded,alternate_payment,0.7663,1518.6533399999998,1,1981.8
TXN_000080,247.75,bank_decline,alternate_payment,0.7755,192.130125,1,247.75
TXN_000081,1451.46,insufficient_funds,retry_later,0.6329,918.629034,0,0.0
TXN_000082,2584.05,network_error,retry,0.95,2454.8475,1,2584.05
TXN_000083,7925.92,bank_decline,alternate_payment,0.791,6269.40272,1,7925.92
TXN_000084,1076.78,insufficient_funds,retry_later,0.7491,806.615898,1,1076.78
TXN_000085,805.53,network_error,retry_later,0.6718,541.155054,1,805.53
TXN_000086,1094.71,card_expired,customer_followup,0.6131,671.166701,1,1094.71
TXN_000087,4516.09,card_expired,customer_followup,0.7188,3246.165492,0,0.0
TXN_000088,2511.79,authentication_failed,customer_followup,0.7685,1930.3106149999999,1,2511.79
TXN_000089,1064.48,insufficient_funds,retry_later,0.6632,705.9631360000001,0,0.0
TXN_000090,3020.77,insufficient_funds,retry_later,0.6536,1974.3752719999998,1,3020.77
TXN_000091,1992.36,insufficient_funds,retry_later,0.7322,1458.8059919999998,1,1992.36
TXN_000092,4763.06,insufficient_funds,retry_later,0.6085,2898.3220100000003,0,0.0
TXN_000093,896.01,authentication_failed,customer_followup,0.6387,572.2815870000001,0,0.0
TXN_000094,1302.89,limit_exceeded,alternate_payment,0.7672,999.577208,1,1302.89
TXN_000095,1221.57,authentication_failed,customer_followup,0.5478,669.1760459999999,0,0.0
TXN_000096,418.42,card_expired,customer_followup,0.5443,227.74600600000002,1,418.42
TXN_000097,2431.15,card_expired,customer_followup,0.8658,2104.88967,1,2431.15
TXN_000098,2347.38,bank_decline,alternate_payment,0.6038,1417.348044,1,2347.38
TXN_000099,1817.31,limit_exceeded,alternate_payment,0.6224,1131.0937439999998,1,1817.31
TXN_000100,1429.98,insufficient_funds,retry_later,0.7073,1011.4248540000001,1,1429.98
TXN_000101,439.06,insufficient_funds,retry_later,0.8467,371.752102,1,439.06
TXN_000102,1187.2,insufficient_funds,retry_later,0.8975,1065.512,1,1187.2
TXN_000103,1283.42,authentication_failed,customer_followup,0.7744,993.880448,1,1283.42
TXN_000104,810.56,limit_exceeded,alternate_payment,0.8095,656.1483199999999,1,810.56
TXN_000105,1538.73,insufficient_funds,retry_later,0.5842,898.9260660000001,0,0.0
TXN_000106,2708.23,insufficient_funds,retry_later,0.6708,1816.680684,1,2708.23
TXN_000107,11922.54,card_expired,customer_followup,0.6243,7443.241722,1,11922.54
TXN_000108,2152.91,bank_decline,alternate_payment,0.6991,1505.099381,0,0.0
TXN_000109,2339.17,limit_exceeded,alternate_payment,0.7711,1803.733987,1,2339.17
TXN_000110,1678.33,authentication_failed,customer_followup,0.8105,1360.286465,1,1678.33
TXN_000111,265.4,authentication_failed,customer_followup,0.703,186.57619999999997,1,265.4
TXN_000112,1760.73,network_error,retry,0.95,1672.6934999999999,1,1760.73
TXN_000113,1920.29,insufficient_funds,retry_later,0.6611,1269.503719,0,0.0
TXN_000114,21231.52,insufficient_funds,retry_later,0.7913,16800.501776,0,0.0
TXN_000115,1491.65,insufficient_funds,retry_later,0.45,671.2425000000001,0,0.0
TXN_000116,2444.38,bank_decline,alternate_payment,0.9213,2252.007294,1,2444.38
TXN_000117,1746.36,insufficient_funds,retry_later,0.5619,981.2796839999999,0,0.0
TXN_000118,561.9,authentication_failed,customer_followup,0.7204,404.79276,1,561.9
TXN_000119,5669.31,limit_exceeded,alternate_payment,0.6155,3489.4603050000005,0,0.0
TXN_000120,3835.03,card_expired,customer_followup,0.8184,3138.588552,1,3835.03
TXN_000121,3987.95,card_expired,customer_followup,0.8555,3411.691225,1,3987.95
TXN_000122,728.23,network_error,retry_later,0.4111,299.375353,0,0.0
TXN_000123,7352.49,bank_decline,alternate_payment,0.651,4786.47099,1,7352.49
TXN_000124,445.03,bank_decline,alternate_payment,0.6946,309.117838,1,445.03
TXN_000125,3251.45,limit_exceeded,alternate_payment,0.6683,2172.944035,1,3251.45
TXN_000126,16162.61,insufficient_funds,retry_later,0.7271,11751.833731,1,16162.61
TXN_000127,671.47,network_error,retry_later,0.5876,394.55577200000005,0,0.0
TXN_000128,1026.29,card_expired,customer_followup,0.7993,820.313597,0,0.0
TXN_000129,1997.5,insufficient_funds,retry_later,0.718,1434.205,1,1997.5
TXN_000130,1092.83,bank_decline,alternate_payment,0.846,924.5341799999999,1,1092.83
TXN_000131,383.5,insufficient_funds,retry_later,0.6904,264.7684,1,383.5
TXN_000132,1936.36,card_expired,customer_followup,0.8257,1598.8524519999999,1,1936.36
TXN_000133,624.97,network_error,retry,0.8797,549.786109,1,624.97
TXN_000134,2903.27,limit_exceeded,alternate_payment,0.8297,2408.843119,1,2903.27
TXN_000135,720.95,limit_exceeded,alternate_payment,0.7937,572.218015,0,0.0
TXN_000136,8517.98,authentication_failed,customer_followup,0.8095,6895.30481,1,8517.98
TXN_000137,826.13,insufficient_funds,retry_later,0.6125,506.00462500000003,1,826.13
TXN_000138,1310.2,limit_exceeded,alternate_payment,0.6458,846.1271600000001,0,0.0
TXN_000139,4078.63,limit_exceeded,alternate_payment,0.8679,3539.8429770000002,1,4078.63
TXN_000140,528.02,bank_decline,alternate_payment,0.649,342.68498,0,0.0
TXN_000141,2269.83,network_error,retry,0.8505,1930.490415,0,0.0
TXN_000142,6681.8,limit_exceeded,alternate_payment,0.8678,5798.46604,1,6681.8
TXN_000143,362.32,insufficient_funds,retry_later,0.5655,204.89195999999998,1,362.32
TXN_000144,2174.67,bank_decline,alternate_payment,0.6814,1481.820138,1,2174.67
TXN_000145,2344.63,bank_decline,alternate_payment,0.6077,1424.8316510000002,1,2344.63
TXN_000146,3951.39,network_error,retry_later,0.5971,2359.374969,1,3951.39
TXN_000147,524.82,bank_decline,alternate_payment,0.7026,368.738532,1,524.82
TXN_000148,482.77,bank_decline,alternate_payment,0.8428,406.878556,1,482.77
TXN_000149,3047.09,card_expired,customer_followup,0.8908,2714.347772,1,3047.09
TXN_000150,2433.25,authentication_failed,customer_followup,0.7293,1774.569225,1,2433.25
TXN_000151,2322.72,network_error,retry_later,0.571,1326.2731199999998,0,0.0
TXN_000152,2556.64,card_expired,customer_followup,0.7883,2015.399312,1,2556.64
TXN_000153,915.96,authentication_failed,customer_followup,0.8474,776.1845040000001,1,915.96
TXN_000154,2280.74,limit_exceeded,alternate_payment,0.8128,1853.7854719999998,1,2280.74
TXN_000155,2423.75,insufficient_funds,retry_later,0.6486,1572.04425,0,0.0
TXN_000156,885.05,card_expired,customer_followup,0.5522,488.72461,1,885.05
TXN_000157,11681.65,limit_exceeded,alternate_payment,0.8554,9992.48341,1,11681.65
TXN_000158,2903.97,limit_exceeded,alternate_payment,0.8204,2382.416988,1,2903.97
TXN_000159,549.33,limit_exceeded,alternate_payment,0.4638,254.779254,1,549.33
TXN_000160,3486.15,authentication_failed,customer_followup,0.8321,2900.825415,1,3486.15
TXN_000161,682.2,bank_decline,alternate_payment,0.522,356.1084,1,682.2
TXN_000162,3972.24,limit_exceeded,alternate_payment,0.5337,2119.9844879999996,0,0.0
TXN_000163,5759.44,limit_exceeded,alternate_payment,0.8396,4835.625824,1,5759.44
TXN_000164,795.78,network_error,retry,0.95,755.991,1,795.78
TXN_000165,4738.03,card_expired,customer_followup,0.8851,4193.630353,1,4738.03
TXN_000166,2731.98,insufficient_funds,retry_later,0.6147,1679.3481060000001,0,0.0
TXN_000167,4113.63,card_expired,customer_followup,0.8624,3547.594512,1,4113.63
TXN_000168,12049.68,bank_decline,alternate_payment,0.5832,7027.3733760000005,1,12049.68
TXN_000169,1414.61,network_error,retry_later,0.5992,847.6343119999999,1,1414.61
TXN_000170,850.87,card_expired,customer_followup,0.6626,563.786462,1,850.87
TXN_000171,742.84,card_expired,customer_followup,0.6811,505.94832400000007,1,742.84
TXN_000172,799.66,bank_decline,alternate_payment,0.8487,678.671442,1,799.66
TXN_000173,1673.88,limit_exceeded,alternate_payment,0.8845,1480.54686,1,1673.88
TXN_000174,2543.13,network_error,retry,0.866,2202.3505800000003,1,2543.13
TXN_000175,2384.37,bank_decline,alternate_payment,0.8789,2095.622793,1,2384.37
TXN_000176,4134.75,bank_decline,alternate_payment,0.8659,3580.280025,1,4134.75
TXN_000177,1831.7,authentication_failed,customer_followup,0.8603,1575.81151,1,1831.7
TXN_000178,7735.18,authentication_failed,customer_followup,0.7689,5947.579902,1,7735.18
TXN_000179,1387.62,authentication_failed,customer_followup,0.8992,1247.7479039999998,0,0.0
TXN_000180,27451.31,authentication_failed,customer_followup,0.7765,21315.942215,1,27451.31
TXN_000181,3380.12,card_expired,customer_followup,0.6649,2247.441788,1,3380.12
TXN_000182,767.27,card_expired,customer_followup,0.6258,480.15756600000003,1,767.27
TXN_000183,619.62,limit_exceeded,alternate_payment,0.6087,377.162694,0,0.0
TXN_000184,2929.16,limit_exceeded,alternate_payment,0.7372,2159.3767519999997,0,0.0
TXN_000185,1445.97,bank_decline,alternate_payment,0.7822,1131.037734,1,1445.97
TXN_000186,3692.28,network_error,retry_later,0.5484,2024.846352,0,0.0
TXN_000187,2902.24,authentication_failed,customer_followup,0.7943,2305.2492319999997,0,0.0
TXN_000188,1681.05,bank_decline,alternate_payment,0.7297,1226.662185,1,1681.05
TXN_000189,775.27,limit_exceeded,alternate_payment,0.8142,631.224834,1,775.27
TXN_000190,397.48,network_error,retry_later,0.4646,184.66920800000003,1,397.48
TXN_000191,1156.88,bank_decline,alternate_payment,0.7024,812.592512,1,1156.88
TXN_000192,4257.34,authentication_failed,customer_followup,0.6394,2722.143196,0,0.0
TXN_000193,2239.69,authentication_failed,customer_followup,0.5036,1127.9078840000002,0,0.0
TXN_000194,520.22,card_expired,customer_followup,0.5762,299.75076400000006,0,0.0
TXN_000195,2149.91,insufficient_funds,retry_later,0.8041,1728.742631,1,2149.91
TXN_000196,2657.97,insufficient_funds,retry_later,0.6756,1795.7245319999997,1,2657.97
TXN_000197,747.06,authentication_failed,customer_followup,0.7198,537.733788,0,0.0
TXN_000198,2108.49,bank_decline,alternate_payment,0.7473,1575.6745769999998,0,0.0
TXN_000199,1916.41,card_expired,customer_followup,0.95,1820.5895,1,1916.41
TXN_000200,576.53,network_error,retry_later,0.4813,277.483889,0,0.0
TXN_000201,2585.79,bank_decline,alternate_payment,0.8532,2206.196028,1,2585.79
TXN_000202,3167.77,bank_decline,alternate_payment,0.6865,2174.674105,1,3167.77
TXN_000203,5340.38,insufficient_funds,retry_later,0.738,3941.20044,1,5340.38
TXN_000204,5186.44,card_expired,customer_followup,0.5922,3071.4097679999995,0,0.0
TXN_000205,455.93,authentication_failed,customer_followup,0.7128,324.986904,1,455.93
TXN_000206,707.81,authentication_failed,customer_followup,0.7864,556.6217839999999,1,707.81
TXN_000207,3026.12,authentication_failed,customer_followup,0.6922,2094.680264,1,3026.12
TXN_000208,3022.34,limit_exceeded,alternate_payment,0.6605,1996.25557,0,0.0
TXN_000209,3026.15,bank_decline,alternate_payment,0.7332,2218.77318,1,3026.15
TXN_000210,85197.85,network_error,retry_later,0.5406,46057.95771,1,85197.85
TXN_000211,3199.95,bank_decline,alternate_payment,0.8334,2666.83833,1,3199.95
TXN_000212,5628.32,authentication_failed,customer_followup,0.6349,3573.420368,0,0.0
TXN_000213,4693.82,network_error,retry_later,0.6341,2976.3512619999997,0,0.0
TXN_000214,3468.2,insufficient_funds,retry_later,0.9187,3186.2353399999997,1,3468.2
TXN_000215,1319.13,insufficient_funds,retry_later,0.6522,860.3365860000001,0,0.0
TXN_000216,3862.11,network_error,retry_later,0.6292,2430.039612,1,3862.11
TXN_000217,834.79,card_expired,customer_followup,0.7738,645.960502,1,834.79
TXN_000218,1426.79,limit_exceeded,alternate_payment,0.8231,1174.3908490000001,1,1426.79
TXN_000219,1112.8,insufficient_funds,retry_later,0.6087,677.36136,0,0.0
TXN_000220,1962.3,bank_decline,alternate_payment,0.7603,1491.93669,0,0.0
TXN_000221,18300.04,authentication_failed,customer_followup,0.8208,15020.672832,1,18300.04
TXN_000222,279.43,insufficient_funds,retry_later,0.8325,232.62547500000002,1,279.43
TXN_000223,3591.27,network_error,retry_later,0.58,2082.9366,1,3591.27
TXN_000224,360.43,insufficient_funds,retry_later,0.8365,301.49969500000003,1,360.43
TXN_000225,1127.85,network_error,retry_later,0.5561,627.1973849999999,1,1127.85
TXN_000226,5371.97,limit_exceeded,alternate_payment,0.735,3948.39795,1,5371.97
TXN_000227,1928.08,network_error,retry_later,0.4733,912.560264,0,0.0
TXN_000228,615.39,card_expired,customer_followup,0.8852,544.7432279999999,1,615.39
TXN_000229,884.21,limit_exceeded,alternate_payment,0.6583,582.0754430000001,0,0.0
TXN_000230,3567.42,insufficient_funds,retry_later,0.7999,2853.579258,1,3567.42
TXN_000231,870.99,authentication_failed,customer_followup,0.8067,702.627633,1,870.99
TXN_000232,2245.0,insufficient_funds,retry_later,0.6354,1426.473,1,2245.0
TXN_000233,1892.34,network_error,retry_later,0.4378,828.466452,0,0.0
TXN_000234,942.37,insufficient_funds,retry_later,0.8055,759.079035,1,942.37
TXN_000235,15428.07,limit_exceeded,alternate_payment,0.5431,8378.984817,1,15428.07
TXN_000236,3408.13,authentication_failed,customer_followup,0.8102,2761.2669260000002,1,3408.13
TXN_000237,238.62,card_expired,customer_followup,0.7748,184.882776,1,238.62
TXN_000238,2178.64,card_expired,customer_followup,0.5682,1237.903248,1,2178.64
TXN_000239,932.82,card_expired,customer_followup,0.7939,740.5657980000001,1,932.82
TXN_000240,4240.49,network_error,retry,0.9245,3920.333005,1,4240.49
TXN_000241,818.5,limit_exceeded,alternate_payment,0.5042,412.6877,0,0.0
TXN_000242,1612.05,bank_decline,alternate_payment,0.8201,1322.042205,0,0.0
TXN_000243,2995.86,network_error,retry,0.8314,2490.7580040000003,0,0.0
TXN_000244,4297.36,authentication_failed,customer_followup,0.7827,3363.5436719999993,1,4297.36
TXN_000245,544.41,card_expired,customer_followup,0.7669,417.50802899999996,1,544.41
TXN_000246,1294.01,network_error,retry,0.8662,1120.871462,0,0.0
TXN_000247,1124.46,network_error,retry_later,0.4641,521.861886,1,1124.46
TXN_000248,940.74,card_expired,customer_followup,0.7639,718.631286,0,0.0
TXN_000249,10566.61,limit_exceeded,alternate_payment,0.6745,7127.1784450000005,0,0.0
TXN_000250,2710.75,insufficient_funds,retry_later,0.5546,1503.38195,0,0.0
TXN_000251,512.41,authentication_failed,customer_followup,0.6517,333.9375969999999,1,512.41
TXN_000252,4527.21,bank_decline,alternate_payment,0.8528,3860.804688,1,4527.21
TXN_000253,15095.56,bank_decline,alternate_payment,0.59,8906.3804,0,0.0
TXN_000254,5076.95,limit_exceeded,alternate_payment,0.6737,3420.341215,1,5076.95
TXN_000255,395.69,authentication_failed,customer_followup,0.8017,317.224673,1,395.69
TXN_000256,1114.06,network_error,retry,0.9133,1017.4709979999999,1,1114.06
TXN_000257,6418.32,card_expired,customer_followup,0.754,4839.41328,0,0.0
TXN_000258,890.99,card_expired,customer_followup,0.8685,773.8248150000001,1,890.99
TXN_000259,2818.1,authentication_failed,customer_followup,0.5421,1527.69201,0,0.0
TXN_000260,3923.09,authentication_failed,customer_followup,0.5317,2085.9069529999997,1,3923.09
TXN_000261,715.56,card_expired,customer_followup,0.6783,485.36434799999995,1,715.56
TXN_000262,1703.56,card_expired,customer_followup,0.6429,1095.218724,0,0.0
TXN_000263,70.72,authentication_failed,customer_followup,0.7143,50.515296,1,70.72
TXN_000264,649.12,network_error,retry_later,0.5869,380.968528,1,649.12
TXN_000265,1404.49,bank_decline,alternate_payment,0.7088,995.502512,0,0.0
TXN_000266,519.16,bank_decline,alternate_payment,0.8659,449.540644,1,519.16
TXN_000267,9250.3,insufficient_funds,retry_later,0.9044,8365.971319999999,1,9250.3
TXN_000268,432.62,authentication_failed,customer_followup,0.7935,343.28397,1,432.62
TXN_000269,1164.39,insufficient_funds,retry_later,0.7164,834.1689960000001,1,1164.39
TXN_000270,2060.58,insufficient_funds,retry_later,0.6849,1411.2912419999998,1,2060.58
TXN_000271,7640.92,limit_exceeded,alternate_payment,0.6201,4738.134492,0,0.0
TXN_000272,430.15,bank_decline,alternate_payment,0.773,332.50595,0,0.0
TXN_000273,5785.81,card_expired,customer_followup,0.9337,5402.210797000001,1,5785.81
TXN_000274,1826.64,card_expired,customer_followup,0.7807,1426.057848,0,0.0
TXN_000275,677.56,card_expired,customer_followup,0.8135,551.19506,1,677.56
TXN_000276,2870.1,limit_exceeded,alternate_payment,0.8144,2337.40944,1,2870.1
TXN_000277,2206.27,authentication_failed,customer_followup,0.6457,1424.588539,0,0.0
TXN_000278,992.06,bank_decline,alternate_payment,0.5531,548.708386,0,0.0
TXN_000279,1938.76,limit_exceeded,alternate_payment,0.8356,1620.027856,1,1938.76
TXN_000280,1229.9,authentication_failed,customer_followup,0.6972,857.4862800000001,0,0.0
TXN_000281,2025.39,authentication_failed,customer_followup,0.6815,1380.303285,0,0.0
TXN_000282,3505.65,network_error,retry,0.95,3330.3675,1,3505.65
TXN_000283,8830.94,card_expired,customer_followup,0.713,6296.46022,1,8830.94
TXN_000284,524.36,network_error,retry,0.8169,428.34968399999997,1,524.36
TXN_000285,15260.66,network_error,retry_later,0.539,8225.49574,0,0.0
TXN_000286,256.7,bank_decline,alternate_payment,0.8943,229.56680999999998,1,256.7
TXN_000287,1553.42,card_expired,customer_followup,0.8839,1373.0679380000001,1,1553.42
TXN_000288,3256.2,limit_exceeded,alternate_payment,0.6936,2258.5003199999996,1,3256.2
TXN_000289,2394.65,limit_exceeded,alternate_payment,0.7553,1808.679145,1,2394.65
TXN_000290,970.0,insufficient_funds,retry_later,0.6626,642.722,1,970.0
TXN_000291,1468.33,network_error,retry_later,0.5507,808.6093309999999,1,1468.33
TXN_000292,1104.34,network_error,retry_later,0.4885,539.4700899999999,1,1104.34
TXN_000293,1002.88,insufficient_funds,retry_later,0.711,713.04768,0,0.0
TXN_000294,4228.5,insufficient_funds,retry_later,0.6783,2868.19155,1,4228.5
TXN_000295,2583.8,bank_decline,alternate_payment,0.7116,1838.63208,1,2583.8
TXN_000296,904.24,network_error,retry,0.7499,678.089576,1,904.24
TXN_000297,4445.29,network_error,retry_later,0.5883,2615.164107,0,0.0
TXN_000298,2458.48,bank_decline,alternate_payment,0.7431,1826.8964879999999,1,2458.48
TXN_000299,4075.96,limit_exceeded,alternate_payment,0.8581,3497.581276,1,4075.96
TXN_000300,3393.54,limit_exceeded,alternate_payment,0.7261,2464.0493939999997,1,3393.54
TXN_000301,789.19,insufficient_funds,retry_later,0.6181,487.798339,1,789.19
TXN_000302,1032.58,network_error,retry_later,0.4355,449.68859,0,0.0
TXN_000303,3817.28,insufficient_funds,retry_later,0.6028,2301.056384,1,3817.28
TXN_000304,3328.81,limit_exceeded,alternate_payment,0.7516,2501.9335960000003,1,3328.81
TXN_000305,1770.64,authentication_failed,customer_followup,0.7119,1260.518616,0,0.0
TXN_000306,2033.12,network_error,retry,0.9244,1879.4161279999998,0,0.0
TXN_000307,6487.71,authentication_failed,customer_followup,0.5052,3277.591092,0,0.0
TXN_000308,1000.67,network_error,retry_later,0.5315,531.856105,1,1000.67
TXN_000309,3124.71,insufficient_funds,retry_later,0.6821,2131.364691,0,0.0
TXN_000310,1477.06,authentication_failed,customer_followup,0.7157,1057.131842,1,1477.06
TXN_000311,1454.36,bank_decline,alternate_payment,0.7181,1044.375916,1,1454.36
TXN_000312,5425.02,card_expired,customer_followup,0.805,4367.141100000001,1,5425.02
TXN_000313,4127.46,limit_exceeded,alternate_payment,0.6992,2885.920032,1,4127.46
TXN_000314,4078.6,bank_decline,alternate_payment,0.6214,2534.44204,0,0.0
TXN_000315,6670.69,bank_decline,alternate_payment,0.7882,5257.837858,0,0.0
TXN_000316,1846.42,authentication_failed,customer_followup,0.7165,1322.9599300000002,1,1846.42
TXN_000317,3575.83,authentication_failed,customer_followup,0.7858,2809.8872140000003,1,3575.83
TXN_000318,1325.75,bank_decline,alternate_payment,0.847,1122.91025,1,1325.75
TXN_000319,2500.3,authentication_failed,customer_followup,0.7551,1887.9765300000001,1,2500.3
TXN_000320,1587.41,bank_decline,alternate_payment,0.621,985.78161,1,1587.41
TXN_000321,1992.2,limit_exceeded,alternate_payment,0.717,1428.4074,1,1992.2
TXN_000322,3278.55,network_error,retry,0.95,3114.6225,1,3278.55
TXN_000323,797.74,card_expired,customer_followup,0.654,521.7219600000001,0,0.0
TXN_000324,14652.81,network_error,retry,0.95,13920.169499999998,1,14652.81
TXN_000325,661.15,authentication_failed,customer_followup,0.8648,571.76252,0,0.0
TXN_000326,536.9,bank_decline,alternate_payment,0.6974,374.43406,0,0.0
TXN_000327,5756.65,network_error,retry_later,0.6067,3492.559555,1,5756.65
TXN_000328,3990.46,bank_decline,alternate_payment,0.6957,2776.163022,1,3990.46
TXN_000329,3374.9,network_error,retry,0.95,3206.1549999999997,1,3374.9
TXN_000330,3389.19,insufficient_funds,retry_later,0.8193,2776.763367,1,3389.19
TXN_000331,1786.03,insufficient_funds,retry_later,0.8232,1470.259896,1,1786.03
TXN_000332,737.12,insufficient_funds,retry_later,0.7436,548.122432,0,0.0
